id,epoch,epoch_size,num_samples,total_workload,batch_size,lr,initial_loss,loss,acc,throughput
5,19,40000,760000,920000,1024,0.02,6.909809634,0.80748504,0.732125,11253.85823
5,20,40000,800000,920000,1024,0.02,6.909809634,0.776497554,0.7415,11144.32668
5,21,40000,840000,920000,1024,0.02,6.909809634,0.784830395,0.744125,11449.50908
5,22,40000,880000,920000,1024,0.02,6.909809634,0.716844875,0.767125,11269.23728
13,1,20000,20000,760000,1024,0.02,6.980698258,1.872110531,0.31,8640.838842
13,2,20000,40000,760000,1024,0.02,6.980698258,1.566325739,0.43075,13736.52219
13,3,20000,60000,760000,1024,0.02,6.980698258,1.57222452,0.44025,13819.53588
13,4,20000,80000,760000,1024,0.02,6.980698258,1.434853494,0.48225,13837.58845
13,5,20000,100000,760000,1024,0.02,6.980698258,1.449584514,0.49375,13300.10006
13,6,20000,120000,760000,1024,0.02,6.980698258,1.332588233,0.51825,13806.87164
13,7,20000,140000,760000,1024,0.02,6.980698258,1.331341907,0.51925,13547.44653
13,8,20000,160000,760000,1024,0.02,6.980698258,1.268809631,0.537,13850.1819
13,9,20000,180000,760000,1024,0.02,6.980698258,1.230311796,0.561,13409.43596
13,10,20000,200000,760000,1024,0.02,6.980698258,1.235542856,0.55875,13665.84123
13,11,20000,220000,760000,1024,0.02,6.980698258,1.194984257,0.57725,13635.9929
13,12,20000,240000,760000,1024,0.02,6.980698258,1.198812284,0.58375,13321.09291
13,13,20000,260000,760000,1024,0.02,6.980698258,1.145464078,0.5985,13660.89963
13,14,20000,280000,760000,1024,0.02,6.980698258,1.159889974,0.59275,13793.13209
13,15,20000,300000,760000,1024,0.02,6.980698258,1.145691361,0.6015,13694.03345
13,16,20000,320000,760000,1024,0.02,6.980698258,1.147680651,0.6075,13681.18047
13,17,20000,340000,760000,1024,0.02,6.980698258,1.144330345,0.602,13849.98283
13,18,20000,360000,760000,1024,0.02,6.980698258,1.067958824,0.62575,13522.76442
13,19,20000,380000,760000,1024,0.02,6.980698258,1.109554075,0.60925,13516.05134
13,20,20000,400000,760000,1024,0.02,6.980698258,1.04759324,0.637,13775.76018
13,21,20000,420000,760000,1024,0.02,6.980698258,1.041368153,0.637,13475.30448
13,22,20000,440000,760000,1024,0.02,6.980698258,1.103878297,0.61725,13629.24492
13,23,20000,460000,760000,1024,0.02,6.980698258,1.042093687,0.64625,13454.69374
13,24,20000,480000,760000,1024,0.02,6.980698258,1.173095334,0.608,13686.71888
13,25,20000,500000,760000,1024,0.02,6.980698258,1.162110355,0.6125,13735.45381
13,26,20000,520000,760000,1024,0.02,6.980698258,1.094974414,0.6405,13876.77833
13,27,20000,540000,760000,1024,0.02,6.980698258,1.182729509,0.61775,13579.37639
13,28,20000,560000,760000,1024,0.02,6.980698258,1.069696032,0.65175,13654.35138
13,29,20000,580000,760000,1024,0.02,6.980698258,1.061486483,0.6525,13785.03129
13,30,20000,600000,760000,1024,0.02,6.980698258,1.096431825,0.649,13773.45735
13,31,20000,620000,760000,1024,0.02,6.980698258,1.087715279,0.64525,13494.12846
13,32,20000,640000,760000,1024,0.02,6.980698258,1.155978743,0.63075,13672.79149
13,33,20000,660000,760000,1024,0.02,6.980698258,1.10739373,0.64325,13666.88267
13,34,20000,680000,760000,1024,0.02,6.980698258,1.133919965,0.6505,13668.84927
13,35,20000,700000,760000,1024,0.02,6.980698258,1.158658352,0.62575,13864.09571
13,36,20000,720000,760000,1024,0.02,6.980698258,1.177151177,0.64025,13337.31715
13,37,20000,740000,760000,1024,0.02,6.980698258,1.148577802,0.65675,13458.0336
11,1,3600,3600,18000,32,1.00E-05,0.649943754,0.41277387,0.818627451,101.3989992
11,2,3600,7200,18000,32,1.00E-05,0.649943754,0.362139976,0.840686275,101.8533695
11,3,3600,10800,18000,32,1.00E-05,0.649943754,0.480125387,0.860294118,102.3231874
11,4,3600,14400,18000,32,1.00E-05,0.649943754,0.517825674,0.850490196,102.4538105
1,1,3600,3600,21600,32,1.00E-05,0.65978655,0.483641487,0.772058824,101.3747507
1,2,3600,7200,21600,32,1.00E-05,0.65978655,0.354869391,0.852941176,102.5110753
1,3,3600,10800,21600,32,1.00E-05,0.65978655,0.409253479,0.862745098,101.7489479
1,4,3600,14400,21600,32,1.00E-05,0.65978655,0.566370059,0.830882353,101.6461594
1,5,3600,18000,21600,32,1.00E-05,0.65978655,0.530393606,0.855392157,101.709474
2,1,20000,20000,100000,256,2.00E-05,0.785519963,0.239578655,0.905963303,461.6679294
2,2,20000,40000,100000,256,2.00E-05,0.785519963,0.265763142,0.912844037,435.4499165
2,3,20000,60000,100000,256,2.00E-05,0.785519963,0.330002055,0.908256881,423.310776
2,4,20000,80000,100000,256,2.00E-05,0.785519963,0.346537032,0.911697248,423.6420009
15,1,20000,20000,720000,1024,0.02,6.899476677,3.812689558,0.09725,4746.985632
15,2,20000,40000,720000,1024,0.02,6.899476677,1.986838646,0.28175,9481.578805
15,3,20000,60000,720000,1024,0.02,6.899476677,1.633516163,0.39425,9658.502827
15,4,20000,80000,720000,1024,0.02,6.899476677,1.652173996,0.3945,9442.685014
15,5,20000,100000,720000,1024,0.02,6.899476677,1.564814702,0.45225,10022.51207
15,6,20000,120000,720000,1024,0.02,6.899476677,1.439244822,0.47575,10047.74333
15,7,20000,140000,720000,1024,0.02,6.899476677,1.418688677,0.5115,10180.34601
15,8,20000,160000,720000,1024,0.02,6.899476677,1.35099794,0.5235,9956.62675
15,9,20000,180000,720000,1024,0.02,6.899476677,1.326362975,0.5365,9930.676307
15,10,20000,200000,720000,1024,0.02,6.899476677,1.205498166,0.5745,9811.889171
15,11,20000,220000,720000,1024,0.02,6.899476677,1.355989397,0.54925,9972.805634
15,12,20000,240000,720000,1024,0.02,6.899476677,1.282426789,0.5685,9397.088131
15,13,20000,260000,720000,1024,0.02,6.899476677,1.139043629,0.60775,9577.209298
15,14,20000,280000,720000,1024,0.02,6.899476677,1.331428327,0.56725,9863.735064
15,15,20000,300000,720000,1024,0.02,6.899476677,1.16533947,0.61325,10268.49481
15,16,20000,320000,720000,1024,0.02,6.899476677,1.1696795,0.61775,9952.439
15,17,20000,340000,720000,1024,0.02,6.899476677,1.111584865,0.62525,9875.203963
15,18,20000,360000,720000,1024,0.02,6.899476677,1.02607746,0.65125,10207.25509
15,19,20000,380000,720000,1024,0.02,6.899476677,1.076360684,0.62275,9829.788007
15,20,20000,400000,720000,1024,0.02,6.899476677,1.061386932,0.65225,9884.147341
15,21,20000,420000,720000,1024,0.02,6.899476677,1.03490448,0.67225,9895.252591
15,22,20000,440000,720000,1024,0.02,6.899476677,0.988241553,0.6785,9864.998094
15,23,20000,460000,720000,1024,0.02,6.899476677,1.007199522,0.6675,9881.357002
15,24,20000,480000,720000,1024,0.02,6.899476677,0.984106358,0.681,9954.279383
15,25,20000,500000,720000,1024,0.02,6.899476677,1.046357527,0.66525,9497.21414
15,26,20000,520000,720000,1024,0.02,6.899476677,0.999361206,0.691,9676.045229
15,27,20000,540000,720000,1024,0.02,6.899476677,0.957590103,0.6775,9880.669767
15,28,20000,560000,720000,1024,0.02,6.899476677,1.087414574,0.66275,9858.277826
15,29,20000,580000,720000,1024,0.02,6.899476677,1.019691709,0.68725,10095.6435
15,30,20000,600000,720000,1024,0.02,6.899476677,0.877705041,0.72425,10207.43397
15,31,20000,620000,720000,1024,0.02,6.899476677,0.908560053,0.7015,9912.680034
15,32,20000,640000,720000,1024,0.02,6.899476677,0.994962454,0.70275,9545.879688
15,33,20000,660000,720000,1024,0.02,6.899476677,0.951685593,0.706,10032.73096
15,34,20000,680000,720000,1024,0.02,6.899476677,1.048415136,0.687,9904.488968
15,35,20000,700000,720000,1024,0.02,6.899476677,0.970873911,0.70525,9991.401617
10,1,5000,5000,25000,32,1.00E-05,0.660096599,0.444511468,0.802681992,102.7817906
10,2,5000,10000,25000,32,1.00E-05,0.660096599,0.503634392,0.8151341,102.3135151
10,3,5000,15000,25000,32,1.00E-05,0.660096599,0.56645743,0.810344828,101.4874631
10,4,5000,20000,25000,32,1.00E-05,0.660096599,0.616332226,0.812260536,102.7479152
12,1,10000,10000,50000,256,2.00E-05,0.748444697,0.24140475,0.904816514,432.8478349
12,2,10000,20000,50000,256,2.00E-05,0.748444697,0.316320726,0.90940367,436.5883674
12,3,10000,30000,50000,256,2.00E-05,0.748444697,0.3388021,0.90940367,435.5908288
12,4,10000,40000,50000,256,2.00E-05,0.748444697,0.336443562,0.908256881,434.3557305
6,1,20000,20000,1380000,1024,0.004,6.908539653,6.861880869,0.060515873,2344.118403
6,2,20000,40000,1380000,1024,0.004,6.908539653,5.647013903,0.048611111,3469.895846
6,3,20000,60000,1380000,1024,0.004,6.908539653,6.69974494,0.049603175,3494.241912
6,4,20000,80000,1380000,1024,0.004,6.908539653,5.849671543,0.053571429,3445.83813
6,5,20000,100000,1380000,1024,0.004,6.908539653,4.726066738,0.050595238,3397.338163
6,6,20000,120000,1380000,1024,0.004,6.908539653,3.979216754,0.049603175,3638.119565
6,7,20000,140000,1380000,1024,0.004,6.908539653,3.556985289,0.049603175,3391.751269
6,8,20000,160000,1380000,1024,0.004,6.908539653,3.083837554,0.049603175,3373.686883
6,9,20000,180000,1380000,1024,0.004,6.908539653,3.004482001,0.049603175,3489.557069
6,10,20000,200000,1380000,1024,0.004,6.908539653,3.035910368,0.049603175,3381.047045
6,11,20000,220000,1380000,1024,0.004,6.908539653,3.030580521,0.049603175,3323.865742
6,12,20000,240000,1380000,1024,0.004,6.908539653,3.024706423,0.049603175,3452.285117
6,13,20000,260000,1380000,1024,0.004,6.908539653,3.026139289,0.049603175,3387.816848
6,14,20000,280000,1380000,1024,0.004,6.908539653,3.025334418,0.049603175,3471.466354
6,15,20000,300000,1380000,1024,0.004,6.908539653,3.02626501,0.049603175,3430.919345
6,16,20000,320000,1380000,1024,0.004,6.908539653,3.021348044,0.049603175,3360.111003
6,17,20000,340000,1380000,1024,0.004,6.908539653,3.021363944,0.049603175,3597.209643
6,18,20000,360000,1380000,1024,0.004,6.908539653,2.999029428,0.055555556,3399.9996
6,19,20000,380000,1380000,1024,0.004,6.908539653,3.000194535,0.066468254,3316.865545
